Coefficient_of_variation	Method	group
2.6	11min 4Th	11min
50.3	11min 4Th	11min
9.1	11min 4Th	11min
7.9	11min 4Th	11min
19.2	11min 4Th	11min
25	11min 4Th	11min
4.2	11min 4Th	11min
4.8	11min 4Th	11min
4.1	11min 4Th	11min
5.8	11min 4Th	11min
5.7	11min 4Th	11min
1.2	11min 4Th	11min
12.3	11min 4Th	11min
30.2	11min 4Th	11min
19.9	11min 4Th	11min
9.9	11min 4Th	11min
18.7	11min 4Th	11min
8.6	11min 4Th	11min
2.6	11min 4Th	11min
11.8	11min 4Th	11min
2.5	11min 4Th	11min
4.6	11min 4Th	11min
6.7	11min 4Th	11min
2.8	11min 4Th	11min
4.4	11min 4Th	11min
5.7	11min 4Th	11min
14.9	11min 4Th	11min
12.3	11min 4Th	11min
4.6	11min 4Th	11min
5.1	11min 4Th	11min
18	11min 4Th	11min
20.1	11min 4Th	11min
3.9	11min 4Th	11min
7.8	11min 4Th	11min
4.3	11min 4Th	11min
2.4	11min 4Th	11min
4.2	11min 4Th	11min
7.2	11min 4Th	11min
14	11min 4Th	11min
5.1	11min 4Th	11min
4.2	11min 4Th	11min
19.5	11min 4Th	11min
37	11min 4Th	11min
4.2	11min 4Th	11min
10	11min 4Th	11min
1.8	11min 4Th	11min
7.7	11min 4Th	11min
16.5	11min 4Th	11min
9	11min 4Th	11min
16.4	11min 4Th	11min
15.1	11min 4Th	11min
34.3	11min 4Th	11min
23	11min 4Th	11min
4.8	11min 4Th	11min
7.7	11min 4Th	11min
3.9	11min 4Th	11min
2.2	11min 4Th	11min
8.6	11min 4Th	11min
11.2	11min 4Th	11min
9.8	11min 4Th	11min
6.2	11min 4Th	11min
8.4	11min 4Th	11min
9.8	11min 4Th	11min
6	11min 4Th	11min
18.5	11min 4Th	11min
10.5	11min 4Th	11min
15.1	11min 4Th	11min
5	11min 4Th	11min
2.4	11min 4Th	11min
3.9	11min 4Th	11min
7.8	11min 4Th	11min
10.7	11min 4Th	11min
11.5	11min 4Th	11min
1.7	11min 4Th	11min
3.5	11min 4Th	11min
58.4	11min 4Th	11min
7.4	11min 4Th	11min
3.8	11min 4Th	11min
9.7	11min 4Th	11min
11.1	11min 4Th	11min
14.4	11min 4Th	11min
4.5	11min 4Th	11min
5.1	11min 4Th	11min
5.8	11min 4Th	11min
5.6	11min 4Th	11min
7.6	11min 4Th	11min
4.6	11min 4Th	11min
2.2	11min 4Th	11min
2	11min 4Th	11min
8.1	11min 4Th	11min
4.7	11min 4Th	11min
3.3	11min 4Th	11min
38	11min 4Th	11min
3.6	11min 4Th	11min
11.2	11min 4Th	11min
4.8	11min 4Th	11min
16.6	11min 4Th	11min
9.7	11min 4Th	11min
7.1	11min 4Th	11min
25.9	11min 4Th	11min
4.6	11min 4Th	11min
4.7	11min 4Th	11min
7.4	11min 4Th	11min
11.2	11min 4Th	11min
13.1	11min 4Th	11min
2.1	11min 4Th	11min
10.2	11min 4Th	11min
8.6	11min 4Th	11min
7.9	11min 4Th	11min
2.5	11min 4Th	11min
12.7	11min 4Th	11min
10.5	11min 4Th	11min
13	11min 4Th	11min
4.9	11min 4Th	11min
7.7	11min 4Th	11min
3.7	11min 4Th	11min
4.7	11min 4Th	11min
9.1	11min 4Th	11min
4.9	11min 4Th	11min
7	11min 4Th	11min
29.9	11min 4Th	11min
3.3	11min 4Th	11min
26.5	11min 4Th	11min
4.9	8min 4Th	8min 
6.1	8min 4Th	8min 
22.5	8min 4Th	8min 
12.5	8min 4Th	8min 
37.9	8min 4Th	8min 
19.9	8min 4Th	8min 
13.5	8min 4Th	8min 
5.6	8min 4Th	8min 
3.9	8min 4Th	8min 
26.5	8min 4Th	8min 
5.6	8min 4Th	8min 
5	8min 4Th	8min 
15.5	8min 4Th	8min 
20.6	8min 4Th	8min 
1.7	8min 4Th	8min 
7.1	8min 4Th	8min 
23.2	8min 4Th	8min 
17.7	8min 4Th	8min 
4.3	8min 4Th	8min 
21.6	8min 4Th	8min 
8	8min 4Th	8min 
18.8	8min 4Th	8min 
11.2	8min 4Th	8min 
28.8	8min 4Th	8min 
29	8min 4Th	8min 
6.7	8min 4Th	8min 
23.6	8min 4Th	8min 
30.3	8min 4Th	8min 
39.6	8min 4Th	8min 
2.3	8min 4Th	8min 
7.2	8min 4Th	8min 
4.8	8min 4Th	8min 
13.8	8min 4Th	8min 
5.3	8min 4Th	8min 
14.1	8min 4Th	8min 
14.5	8min 4Th	8min 
19.9	8min 4Th	8min 
21	8min 4Th	8min 
3.5	8min 4Th	8min 
45.1	8min 4Th	8min 
15.9	8min 4Th	8min 
44.4	8min 4Th	8min 
11.8	8min 4Th	8min 
3.1	8min 4Th	8min 
6.5	8min 4Th	8min 
4.7	8min 4Th	8min 
12.7	8min 4Th	8min 
27.8	8min 4Th	8min 
33.9	8min 4Th	8min 
4.2	8min 4Th	8min 
3.4	8min 4Th	8min 
14.7	8min 4Th	8min 
6.8	8min 4Th	8min 
7.6	8min 4Th	8min 
3.6	8min 4Th	8min 
9.4	8min 4Th	8min 
11.8	8min 4Th	8min 
30.6	8min 4Th	8min 
19.6	8min 4Th	8min 
20.5	8min 4Th	8min 
4.6	8min 4Th	8min 
39.7	8min 4Th	8min 
4.7	8min 4Th	8min 
44.2	8min 4Th	8min 
5.9	8min 4Th	8min 
5.6	8min 4Th	8min 
14.5	8min 4Th	8min 
5.5	8min 4Th	8min 
60.8	8min 4Th	8min 
40.4	8min 4Th	8min 
11.9	8min 4Th	8min 
17	8min 4Th	8min 
8	8min 4Th	8min 
8.7	8min 4Th	8min 
17.9	8min 4Th	8min 
10.9	8min 4Th	8min 
18.2	8min 4Th	8min 
6.5	8min 4Th	8min 
2.4	8min 4Th	8min 
4.5	8min 4Th	8min 
37.9	8min 4Th	8min 
6.5	8min 4Th	8min 
6.9	8min 4Th	8min 
25.1	8min 4Th	8min 
2.9	8min 4Th	8min 
4.4	8min 4Th	8min 
31.4	8min 4Th	8min 
4.2	8min 4Th	8min 
36.5	8min 4Th	8min 
12.3	8min 4Th	8min 
31	8min 4Th	8min 
4.8	8min 4Th	8min 
3.8	8min 4Th	8min 
10.3	8min 4Th	8min 
4.3	8min 4Th	8min 
2.7	8min 4Th	8min 
6.1	8min 4Th	8min 
7.1	8min 4Th	8min 
3.4	8min 4Th	8min 
6.9	8min 4Th	8min 
22	8min 4Th	8min 
4.2	8min 4Th	8min 
25.3	8min 4Th	8min 
8.7	8min 4Th	8min 
2.8	8min 4Th	8min 
7.3	8min 4Th	8min 
9.3	8min 4Th	8min 
3.4	8min 4Th	8min 
5.2	8min 4Th	8min 
25.3	8min 4Th	8min 
3.9	8min 4Th	8min 
28.4	8min 4Th	8min 
18.5	8min 4Th	8min 
1.7	8min 4Th	8min 
2.3	8min 4Th	8min 
3.8	8min 4Th	8min 
23.1	8min 4Th	8min 
11.9	8min 4Th	8min 
9.2	8min 4Th	8min 
6.8	8min 4Th	8min 
29.1	8min 4Th	8min 
2.7	8min 4Th	8min 
4.6	8min 4Th	8min 
4.4	8min 4Th	8min 
8.9	8min 4Th	8min 
2.2	8min 4Th	8min 
19.5	8min 4Th	8min 
14.5	8min 4Th	8min 
27.2	8min 4Th	8min 
3	8min 4Th	8min 
3.9	8min 4Th	8min 
27.3	8min 4Th	8min 
15.1	8min 4Th	8min 
30	8min 4Th	8min 
6.3	8min 4Th	8min 
9.5	8min 4Th	8min 
7.3	8min 4Th	8min 
7.2	8min 4Th	8min 
12.8	8min 4Th	8min 
13.7	8min 4Th	8min 
1.3	8min 4Th	8min 
13.5	8min 4Th	8min 
5.3	8min 4Th	8min 
7.7	8min 4Th	8min 
5.7	8min 4Th	8min 
17.6	8min 4Th	8min 
20.2	8min 4Th	8min 
3.8	8min 4Th	8min 
10.9	8min 4Th	8min 
11.5	8min 4Th	8min 
35.1	8min 4Th	8min 
2.3	8min 4Th	8min 
12.7	8min 4Th	8min 
4.2	8min 4Th	8min 
11.7	8min 4Th	8min 
18.2	8min 4Th	8min 
5.3	8min 4Th	8min 
23.5	8min 4Th	8min 
16.1	8min 4Th	8min 
9.1	8min 4Th	8min 
8.5	8min 4Th	8min 
12.6	8min 4Th	8min 
7	8min 4Th	8min 
22.5	8min 4Th	8min 
25.8	8min 4Th	8min 
9.5	8min 4Th	8min 
26.1	8min 4Th	8min 
2.9	8min 4Th	8min 
2.3	8min 4Th	8min 
14.2	8min 4Th	8min 
10.6	8min 4Th	8min 
11	8min 4Th	8min 
5.1	8min 4Th	8min 
8.1	8min 4Th	8min 
10.6	8min 4Th	8min 
7.9	8min 4Th	8min 
17.7	8min 4Th	8min 
23.6	8min 4Th	8min 
29.4	8min 4Th	8min 
3	8min 4Th	8min 
2.8	8min 4Th	8min 
8.4	8min 4Th	8min 
6.9	8min 4Th	8min 
8.4	8min 4Th	8min 
1	8min 4Th	8min 
5.8	8min 4Th	8min 
6.3	8min 4Th	8min 
29.2	8min 4Th	8min 
2.6	8min 4Th	8min 
12.2	8min 4Th	8min 
30.3	8min 4Th	8min 
10.5	8min 4Th	8min 
4.6	8min 4Th	8min 
23.8	8min 4Th	8min 
15.1	8min 4Th	8min 
7	8min 4Th	8min 
34.4	8min 4Th	8min 
39.8	8min 4Th	8min 
3	8min 4Th	8min 
17.5	8min 4Th	8min 
19.7	8min 4Th	8min 
12.2	8min 4Th	8min 
5.9	8min 4Th	8min 
10.4	8min 4Th	8min 
6.8	8min 4Th	8min 
21.9	8min 4Th	8min 
3.7	8min 4Th	8min 
28.5	8min 4Th	8min 
20.2	8min 4Th	8min 
7.7	8min 4Th	8min 
33.6	8min 4Th	8min 
9.9	8min 4Th	8min 
10.6	8min 4Th	8min 
9.2	8min 4Th	8min 
5.9	8min 4Th	8min 
7.9	8min 4Th	8min 
10.6	8min 4Th	8min 
2.7	8min 4Th	8min 
6.8	8min 4Th	8min 
19.4	8min 4Th	8min 
9.3	8min 4Th	8min 
3.9	8min 4Th	8min 
26.7	8min 4Th	8min 
9.2	8min 4Th	8min 
18.9	8min 4Th	8min 
3.8	8min 4Th	8min 
6.5	8min 4Th	8min 
28.3	8min 4Th	8min 
6.3	8min 4Th	8min 
25.3	8min 4Th	8min 
14.6	8min 4Th	8min 
9.4	8min 4Th	8min 
15	8min 4Th	8min 
7.5	8min 4Th	8min 
3.6	8min 4Th	8min 
10.8	8min 4Th	8min 
9.8	8min 4Th	8min 
20.2	8min 4Th	8min 
7.6	8min 4Th	8min 
7.5	8min 4Th	8min 
5.8	8min 4Th	8min 
32.7	8min 4Th	8min 
6.4	8min 4Th	8min 
15.7	8min 4Th	8min 
13.3	8min 4Th	8min 
8.1	8min 4Th	8min 
8.9	8min 4Th	8min 
23.4	8min 4Th	8min 
16.2	8min 4Th	8min 
2.9	8min 4Th	8min 
23.7	8min 4Th	8min 
12.7	8min 4Th	8min 
9.4	8min 4Th	8min 
6.4	8min 4Th	8min 
8	8min 4Th	8min 
4	8min 4Th	8min 
15.4	8min 4Th	8min 
6.6	8min 4Th	8min 
0.9	8min 4Th	8min 
2.6	8min 4Th	8min 
7.1	8min 4Th	8min 
10	8min 4Th	8min 
9.7	8min 4Th	8min 
6.4	8min 4Th	8min 
3.1	8min 4Th	8min 
4.8	8min 4Th	8min 
34.4	8min 4Th	8min 
3.6	8min 4Th	8min 
2.8	8min 4Th	8min 
16.7	8min 4Th	8min 
6.6	8min 4Th	8min 
6.7	8min 4Th	8min 
11.7	8min 4Th	8min 
2.5	8min 4Th	8min 
2.7	8min 4Th	8min 
42.7	8min 4Th	8min 
30.2	8min 4Th	8min 
14.6	8min 4Th	8min 
13.5	8min 4Th	8min 
7.6	8min 4Th	8min 
7	8min 4Th	8min 
9.3	8min 4Th	8min 
10.9	8min 4Th	8min 
5.2	8min 4Th	8min 
3.3	8min 4Th	8min 
8.2	8min 4Th	8min 
2.3	8min 4Th	8min 
8.1	8min 4Th	8min 
4.8	8min 4Th	8min 
45.1	8min 4Th	8min 
10.4	8min 4Th	8min 
2.3	8min 4Th	8min 
9.2	8min 4Th	8min 
3.8	8min 4Th	8min 
9.1	8min 4Th	8min 
28.1	8min 4Th	8min 
26.7	8min 4Th	8min 
22.2	8min 4Th	8min 
10.2	8min 4Th	8min 
14.3	8min 4Th	8min 
2.9	8min 4Th	8min 
13.4	8min 4Th	8min 
5.5	8min 4Th	8min 
8.7	8min 4Th	8min 
6.1	8min 4Th	8min 
13.7	8min 4Th	8min 
3.7	8min 4Th	8min 
3.5	8min 4Th	8min 
8.9	8min 4Th	8min 
5.6	8min 4Th	8min 
4.4	8min 4Th	8min 
10.1	8min 4Th	8min 
5.3	8min 4Th	8min 
3.5	8min 4Th	8min 
2.9	8min 4Th	8min 
17.4	8min 4Th	8min 
23.8	8min 4Th	8min 
34.7	8min 4Th	8min 
32	8min 4Th	8min 
3.8	8min 4Th	8min 
5.2	8min 4Th	8min 
20.1	8min 4Th	8min 
22.8	8min 4Th	8min 
19.5	8min 4Th	8min 
22.3	8min 4Th	8min 
53.6	8min 4Th	8min 
21.5	8min 4Th	8min 
25.6	8min 4Th	8min 
63.2	8min 4Th	8min 
8	8min 4Th	8min 
11	8min 4Th	8min 
22.9	8min 4Th	8min 
36.8	8min 4Th	8min 
24.4	8min 4Th	8min 
7.6	8min 4Th	8min 
7.2	8min 4Th	8min 
8	8min 4Th	8min 
5.3	8min 4Th	8min 
15.4	8min 4Th	8min 
4.9	8min 4Th	8min 
16.7	8min 4Th	8min 
3.9	8min 4Th	8min 
10.3	8min 4Th	8min 
9	8min 4Th	8min 
22.6	8min 4Th	8min 
4	8min 4Th	8min 
2.1	8min 4Th	8min 
36.8	8min 4Th	8min 
17.8	8min 4Th	8min 
3.1	8min 4Th	8min 
9	8min 4Th	8min 
6.4	8min 4Th	8min 
25.9	8min 4Th	8min 
33.9	8min 4Th	8min 
3.1	8min 4Th	8min 
23.6	8min 4Th	8min 
3.2	8min 4Th	8min 
8.8	8min 4Th	8min 
3.8	8min 4Th	8min 
5.5	8min 4Th	8min 
7.7	8min 4Th	8min 
5.8	8min 4Th	8min 
28.9	8min 4Th	8min 
11.7	8min 4Th	8min 
23.4	8min 4Th	8min 
25.1	8min 4Th	8min 
30	8min 4Th	8min 
28.9	8min 4Th	8min 
3.3	8min 4Th	8min 
9.1	8min 4Th	8min 
8.3	8min 4Th	8min 
3.7	8min 4Th	8min 
12	8min 4Th	8min 
1.3	8min 4Th	8min 
27.5	8min 4Th	8min 
2.3	8min 4Th	8min 
22.5	8min 4Th	8min 
17.5	8min 4Th	8min 
8.7	8min 4Th	8min 
7	8min 4Th	8min 
4.5	8min 4Th	8min 
16.1	8min 4Th	8min 
3.1	8min 4Th	8min 
2.9	8min 4Th	8min 
8.7	8min 4Th	8min 
1.9	8min 4Th	8min 
2.1	8min 4Th	8min 
11.2	8min 4Th	8min 
19	8min 4Th	8min 
3.5	8min 4Th	8min 
3.7	8min 4Th	8min 
16.7	8min 4Th	8min 
25.1	8min 4Th	8min 
8	8min 4Th	8min 
25.9	8min 4Th	8min 
5.4	8min 4Th	8min 
9.6	8min 4Th	8min 
4.2	8min 4Th	8min 
6.1	8min 4Th	8min 
7.5	8min 4Th	8min 
21.4	8min 4Th	8min 
12	8min 4Th	8min 
6.3	8min 4Th	8min 
15.9	8min 4Th	8min 
24	8min 4Th	8min 
4.6	8min 4Th	8min 
2.8	8min 4Th	8min 
3.2	8min 4Th	8min 
11.2	8min 4Th	8min 
2.1	8min 4Th	8min 
22.3	8min 4Th	8min 
5.1	8min 4Th	8min 
36.3	8min 4Th	8min 
14	8min 4Th	8min 
15.4	8min 4Th	8min 
10	8min 4Th	8min 
9.6	8min 4Th	8min 
4.1	8min 4Th	8min 
8.8	8min 4Th	8min 
25.9	8min 4Th	8min 
15.4	8min 4Th	8min 
3.6	8min 4Th	8min 
5	8min 4Th	8min 
4.9	8min 4Th	8min 
4	8min 4Th	8min 
5.6	8min 4Th	8min 
31.5	8min 4Th	8min 
22.8	8min 4Th	8min 
5.1	8min 4Th	8min 
12.2	8min 4Th	8min 
1.3	8min 4Th	8min 
22.9	8min 4Th	8min 
14.5	8min 4Th	8min 
37.4	8min 4Th	8min 
9.9	8min 4Th	8min 
11.1	8min 4Th	8min 
1.9	8min 4Th	8min 
5.5	8min 4Th	8min 
43.9	8min 4Th	8min 
3.6	8min 4Th	8min 
30.9	8min 4Th	8min 
1.7	8min 4Th	8min 
32.1	8min 4Th	8min 
4.8	8min 4Th	8min 
5.4	8min 4Th	8min 
11.4	8min 4Th	8min 
17.1	8min 4Th	8min 
3.9	8min 4Th	8min 
2.8	8min 4Th	8min 
6.5	8min 4Th	8min 
36.4	8min 4Th	8min 
35.9	8min 4Th	8min 
19.1	8min 4Th	8min 
17	8min 4Th	8min 
18.2	8min 4Th	8min 
22.8	8min 4Th	8min 
16.7	8min 4Th	8min 
6.2	8min 4Th	8min 
21.3	8min 4Th	8min 
10.7	8min 4Th	8min 
4.6	8min 4Th	8min 
18.7	8min 4Th	8min 
13.7	8min 4Th	8min 
4	8min 4Th	8min 
2.8	8min 4Th	8min 
3.1	8min 4Th	8min 
1.6	8min 4Th	8min 
5.1	8min 4Th	8min 
12.6	8min 4Th	8min 
7	8min 4Th	8min 
15.6	8min 4Th	8min 
13.7	8min 4Th	8min 
22.3	8min 4Th	8min 
4.6	8min 4Th	8min 
5.8	8min 4Th	8min 
2.9	8min 4Th	8min 
18.6	8min 4Th	8min 
5.9	8min 4Th	8min 
17.2	8min 4Th	8min 
13.7	8min 4Th	8min 
13.2	8min 4Th	8min 
1.6	8min 4Th	8min 
8.1	8min 4Th	8min 
2.5	8min 4Th	8min 
19	8min 4Th	8min 
3.9	8min 4Th	8min 
15.4	8min 4Th	8min 
7.4	8min 4Th	8min 
10.5	8min 4Th	8min 
22.5	8min 4Th	8min 
14.4	8min 4Th	8min 
25.1	8min 4Th	8min 
23.3	8min 4Th	8min 
7.4	8min 4Th	8min 
6.2	8min 4Th	8min 
1.7	8min 4Th	8min 
19.9	8min 4Th	8min 
6.2	8min 4Th	8min 
4.1	8min 4Th	8min 
5.4	8min 4Th	8min 
3.9	8min 4Th	8min 
15.1	8min 4Th	8min 
10.9	8min 4Th	8min 
8.1	8min 4Th	8min 
6.1	8min 4Th	8min 
22	8min 4Th	8min 
5.4	8min 4Th	8min 
13.5	8min 4Th	8min 
5.6	8min 4Th	8min 
18	8min 4Th	8min 
7.2	8min 4Th	8min 
3	8min 4Th	8min 
30.8	8min 4Th	8min 
2.6	8min 4Th	8min 
5.3	8min 4Th	8min 
5.2	8min 4Th	8min 
4.9	8min 4Th	8min 
7.1	8min 4Th	8min 
10.9	8min 4Th	8min 
8.2	8min 4Th	8min 
7.6	8min 4Th	8min 
4.3	8min 4Th	8min 
33.8	8min 4Th	8min 
45.7	8min 4Th	8min 
1.7	8min 4Th	8min 
8.2	8min 4Th	8min 
3.9	8min 4Th	8min 
2.7	8min 4Th	8min 
4.6	8min 4Th	8min 
4.9	8min 4Th	8min 
4.4	8min 4Th	8min 
3.8	8min 4Th	8min 
4.1	8min 4Th	8min 
10	8min 4Th	8min 
5.9	8min 4Th	8min 
2.6	8min 4Th	8min 
4.3	8min 4Th	8min 
2.9	8min 4Th	8min 
13	8min 4Th	8min 
3.8	8min 4Th	8min 
8.6	8min 4Th	8min 
5.3	8min 4Th	8min 
10.4	8min 4Th	8min 
27.2	8min 4Th	8min 
16.4	8min 4Th	8min 
3.7	8min 4Th	8min 
3.8	8min 4Th	8min 
8.9	8min 4Th	8min 
9	8min 4Th	8min 
5	8min 4Th	8min 
10	8min 4Th	8min 
16.4	8min 4Th	8min 
10.5	8min 4Th	8min 
13.4	8min 4Th	8min 
6.8	8min 4Th	8min 
4.4	8min 4Th	8min 
16.8	8min 4Th	8min 
8.3	8min 4Th	8min 
14.4	8min 4Th	8min 
4.8	8min 4Th	8min 
32.1	8min 4Th	8min 
8.7	8min 4Th	8min 
6.3	8min 4Th	8min 
4.6	8min 4Th	8min 
40.9	8min 4Th	8min 
23.4	8min 4Th	8min 
44.8	8min 4Th	8min 
6.8	8min 4Th	8min 
2.6	8min 4Th	8min 
10.5	8min 4Th	8min 
1.8	8min 4Th	8min 
2.2	8min 4Th	8min 
4.1	8min 4Th	8min 
4.8	8min 4Th	8min 
9.6	8min 4Th	8min 
3.1	8min 4Th	8min 
7.4	8min 4Th	8min 
2.3	8min 4Th	8min 
7	8min 4Th	8min 
22.9	8min 4Th	8min 
13.1	8min 4Th	8min 
11	8min 4Th	8min 
15.9	8min 4Th	8min 
3	8min 4Th	8min 
4.8	8min 4Th	8min 
12.1	8min 4Th	8min 
6.1	8min 4Th	8min 
7.3	8min 4Th	8min 
7.2	8min 4Th	8min 
27.4	8min 4Th	8min 
11.7	8min 4Th	8min 
1.9	8min 4Th	8min 
2.5	8min 4Th	8min 
33.2	8min 4Th	8min 
22.4	8min 4Th	8min 
25.1	8min 4Th	8min 
17.4	8min 4Th	8min 
10.4	8min 4Th	8min 
2.6	8min 4Th	8min 
3.6	8min 4Th	8min 
9.4	8min 4Th	8min 
7	8min 4Th	8min 
13.8	8min 4Th	8min 
3.2	8min 4Th	8min 
7.1	8min 4Th	8min 
1.3	8min 4Th	8min 
6	8min 4Th	8min 
6.6	8min 4Th	8min 
3.2	8min 4Th	8min 
8.2	8min 4Th	8min 
8.1	8min 4Th	8min 
4.4	8min 4Th	8min 
3.4	8min 4Th	8min 
5.1	8min 4Th	8min 
37.1	8min 4Th	8min 
1.9	8min 4Th	8min 
10.3	8min 4Th	8min 
21.1	8min 4Th	8min 
13.8	8min 4Th	8min 
5.5	8min 4Th	8min 
16.8	8min 4Th	8min 
11.7	8min 4Th	8min 
21.3	8min 4Th	8min 
4.3	8min 4Th	8min 
5.8	8min 4Th	8min 
16.6	8min 4Th	8min 
36.5	8min 4Th	8min 
6	8min 4Th	8min 
13.5	8min 4Th	8min 
5.3	8min 4Th	8min 
8.4	8min 4Th	8min 
6.6	8min 4Th	8min 
7.9	8min 4Th	8min 
6.2	8min 4Th	8min 
2.8	8min 4Th	8min 
5.7	8min 4Th	8min 
2.9	8min 4Th	8min 
3.6	8min 4Th	8min 
24	8min 4Th	8min 
11.3	8min 4Th	8min 
8	8min 4Th	8min 
14.4	8min 4Th	8min 
11.5	8min 4Th	8min 
15	8min 4Th	8min 
9.2	8min 4Th	8min 
6.9	8min 4Th	8min 
12.2	8min 4Th	8min 
8	8min 4Th	8min 
6	8min 4Th	8min 
6.9	8min 4Th	8min 
9.8	8min 4Th	8min 
2.1	8min 4Th	8min 
1.2	8min 4Th	8min 
3.2	8min 4Th	8min 
7.2	8min 4Th	8min 
7.8	8min 4Th	8min 
4	8min 4Th	8min 
3.9	8min 4Th	8min 
25.5	8min 4Th	8min 
9.5	8min 4Th	8min 
4.3	8min 4Th	8min 
9.7	8min 4Th	8min 
28.4	8min 4Th	8min 
38.5	8min 4Th	8min 
7.7	8min 4Th	8min 
8.7	8min 4Th	8min 
16	8min 4Th	8min 
20.3	8min 4Th	8min 
6.6	8min 4Th	8min 
4.7	8min 4Th	8min 
11.4	8min 4Th	8min 
18.8	8min 4Th	8min 
4.3	8min 4Th	8min 
6.4	8min 4Th	8min 
24.7	8min 4Th	8min 
8	8min 4Th	8min 
6	8min 4Th	8min 
6.2	8min 4Th	8min 
17.9	8min 4Th	8min 
12	8min 4Th	8min 
30.8	8min 4Th	8min 
18.2	8min 4Th	8min 
4.6	8min 4Th	8min 
18.5	8min 4Th	8min 
27.7	8min 4Th	8min 
4	8min 4Th	8min 
6.7	8min 4Th	8min 
3.7	8min 4Th	8min 
13.4	8min 4Th	8min 
6.3	8min 4Th	8min 
5.6	8min 4Th	8min 
5.9	8min 4Th	8min 
7.1	8min 4Th	8min 
34.3	8min 4Th	8min 
20.2	8min 4Th	8min 
21.9	8min 4Th	8min 
5	8min 4Th	8min 
21.2	8min 4Th	8min 
4.6	8min 4Th	8min 
18.3	8min 4Th	8min 
16.8	8min 4Th	8min 
8	8min 4Th	8min 
3.2	8min 4Th	8min 
2.1	8min 4Th	8min 
16.1	8min 4Th	8min 
25.4	8min 4Th	8min 
5	8min 4Th	8min 
33.3	8min 4Th	8min 
3	8min 4Th	8min 
16.7	8min 4Th	8min 
5.5	8min 4Th	8min 
5.3	8min 4Th	8min 
3.9	8min 4Th	8min 
9.6	8min 4Th	8min 
11.2	8min 4Th	8min 
15.4	8min 4Th	8min 
22.8	8min 4Th	8min 
11.5	8min 4Th	8min 
3.5	8min 4Th	8min 
4.8	8min 4Th	8min 
11	8min 4Th	8min 
5.1	8min 4Th	8min 
19.3	8min 4Th	8min 
7.1	8min 4Th	8min 
20	8min 4Th	8min 
9	8min 4Th	8min 
2.4	8min 4Th	8min 
4.4	8min 4Th	8min 
14.7	8min 4Th	8min 
1.6	8min 4Th	8min 
10.8	8min 4Th	8min 
14.8	8min 4Th	8min 
9.2	8min 4Th	8min 
14.1	8min 4Th	8min 
1.5	8min 4Th	8min 
4	8min 4Th	8min 
1.1	8min 4Th	8min 
14.3	8min 4Th	8min 
3.1	8min 4Th	8min 
9.4	8min 4Th	8min 
6	8min 4Th	8min 
50.5	8min 4Th	8min 
24.2	8min 4Th	8min 
6.4	8min 4Th	8min 
3.7	8min 4Th	8min 
32	8min 4Th	8min 
1.4	8min 4Th	8min 
8.4	8min 4Th	8min 
12.8	8min 4Th	8min 
3.2	8min 4Th	8min 
5.6	8min 4Th	8min 
23	8min 4Th	8min 
18.5	8min 4Th	8min 
8.4	8min 4Th	8min 
14.9	8min 4Th	8min 
34.1	8min 4Th	8min 
10.1	8min 4Th	8min 
2.7	8min 4Th	8min 
6.8	8min 4Th	8min 
2.8	8min 4Th	8min 
5.2	8min 4Th	8min 
29.3	8min 4Th	8min 
5.7	8min 4Th	8min 
8.3	8min 4Th	8min 
9.3	8min 4Th	8min 
3.3	8min 4Th	8min 
22.3	8min 4Th	8min 
4.1	8min 4Th	8min 
6.7	8min 4Th	8min 
2.2	8min 4Th	8min 
12.5	8min 4Th	8min 
16.5	8min 4Th	8min 
22.9	8min 4Th	8min 
11.5	8min 4Th	8min 
4.3	8min 4Th	8min 
18.6	8min 4Th	8min 
8.1	8min 4Th	8min 
8	8min 4Th	8min 
13.7	8min 4Th	8min 
4.1	8min 4Th	8min 
6	8min 4Th	8min 
2.5	8min 4Th	8min 
3.2	8min 4Th	8min 
16.7	8min 4Th	8min 
6	8min 4Th	8min 
17.3	8min 4Th	8min 
14	8min 4Th	8min 
13.7	8min 4Th	8min 
5	8min 4Th	8min 
8.1	8min 4Th	8min 
4.6	8min 4Th	8min 
14.6	8min 4Th	8min 
14.6	8min 4Th	8min 
4.8	8min 4Th	8min 
6.7	8min 4Th	8min 
24.7	8min 4Th	8min 
36.5	8min 4Th	8min 
2.7	8min 4Th	8min 
13.2	8min 4Th	8min 
4.7	8min 4Th	8min 
9.9	8min 4Th	8min 
7.3	8min 4Th	8min 
7	8min 4Th	8min 
5.5	8min 4Th	8min 
9.8	8min 4Th	8min 
16.8	8min 4Th	8min 
3.9	8min 4Th	8min 
1.5	8min 4Th	8min 
12	8min 4Th	8min 
3.1	8min 4Th	8min 
5	8min 4Th	8min 
5.2	8min 4Th	8min 
5.6	8min 4Th	8min 
23.2	8min 4Th	8min 
43	8min 4Th	8min 
6.9	8min 4Th	8min 
2.7	8min 4Th	8min 
4.2	8min 4Th	8min 
28.8	8min 4Th	8min 
15.9	8min 4Th	8min 
12.3	8min 4Th	8min 
11	8min 4Th	8min 
3	8min 4Th	8min 
3.7	8min 4Th	8min 
8.1	8min 4Th	8min 
4.2	8min 4Th	8min 
8.9	8min 4Th	8min 
10.4	8min 4Th	8min 
26.2	8min 4Th	8min 
5.2	8min 4Th	8min 
45.5	8min 4Th	8min 
