genes	log2FoldChange	pvalue
CHMP2A	-0.171793163	0.022371731
CHMP3	0.104337931	0.562989233
CHMP4A	0.083075643	0.438027031
CHMP4B	0.126455009	0.179903245
CHMP5	-0.307714641	0.008447033
CHMP6	0.203188181	0.449311629
CHORDC1	0.026964247	0.89409063
CHP1	0.002738476	0.989820895
CHRAC1	-0.166639447	0.069498795
CHST9	0.088603675	0.604094865
CHTOP	0.35977006	0.323439726
CHUK	-0.101649761	0.684047454
CHURC1	0.256773472	0.002532174
CIAO1	0.4259727	0.088950259
CIAO2B	-0.008730054	0.907034861
CIAO3	-0.018687725	0.885304294
CIAPIN1	0.038577557	0.515119259
CIRBP	0.295945227	0.137378982
CISD1	0.068877399	0.515185867
CISD2	0.198757231	0.50642062
CKAP4	0.091132581	0.684419652
CKAP5	0.106549025	0.608814487
CKS1B	0.479095101	0.253465082
CLASP1	-0.036107183	0.782219724
CLASP2	-0.059461862	0.815645167
CLCC1	0.090677977	0.580586505
CLCN7	-0.026930869	0.878469938
CLEC14A	-0.154196441	0.141718966
CLEC2B	-0.060054839	0.610248199
CLEC3B	-0.098553985	0.703093358
CLIC1	0.049141288	0.475692021
CLIC4	0.07734412	0.123743177
CLIC6;CLIC5	-0.78494909	0.008997925
CLINT1	-0.047698438	0.091243441
CLIP1	-0.03124845	0.438883306
CLIP2	-0.166170269	0.444958553
CLMN	0.227840321	0.267284174
CLNS1A	0.473537683	0.000790682
CLP1	0.05334723	0.632576385
CLPB	0.098396778	0.492787322
CLPP	0.08042407	0.143195747
CLPTM1	0.12872982	0.425165153
CLPTM1L	0.016626596	0.907194761
CLPX	-0.026688755	0.835728919
CLTA	0.290785432	0.264586242
CLTB	0.868140757	0.127986543
CLTC	0.100786269	0.017624704
CLU	-0.073765576	0.19266282
CLUH	-0.018173754	0.819064159
CMAS	0.040992081	0.561375124
CMBL	0.032806218	0.821592884
CMC1	-0.011865795	0.88844794
CMIP	-0.068444848	0.457942463
CMPK1	0.26025188	0.052305744
CMTM6	-0.162093341	0.371313534
CNBP	0.217230797	0.207782873
CNDP2	-0.073402524	0.644155723
CNEP1R1	0.175045013	0.521293533
CNIH4	-0.187437892	0.098705623
CNN2	0.114432752	0.39189717
CNN3	0.234100521	0.175380587
CNOT1	-0.047693789	0.635812224
CNOT11	0.467953801	0.03680539
CNOT2	0.112917721	0.205206299
CNOT3	0.059154749	0.395923532
CNOT6L	-0.240022272	0.380624349
CNOT7	0.16524446	0.23811158
CNOT9	-0.044074476	0.573210957
CNP	0.09538269	0.384833839
CNPY2	0.072618723	0.520253219
CNPY3	0.061645865	0.49786334
CNPY4	0.071741402	0.369808473
CNRIP1	0.072851121	0.347697477
CNTNAP1	0.04589808	0.864005342
COA3	0.155978441	0.050362658
COA4	-0.117787361	0.598100554
COA6	-0.052790403	0.648079692
COA7	-0.008717775	0.887494603
COASY	-0.018497527	0.910863338
COBLL1	-0.032681942	0.937567929
COG1	0.15061605	0.157727251
COG2	0.201855898	0.3831885
COG3	-0.591685406	0.089690162
COG4	-0.056104004	0.224746408
COG5	1.058736086	1
COG6	-0.013665438	0.814102935
COG7	0.112303019	0.579107739
COG8	0.958446413	0.000127763
COIL	-0.121323347	0.094973189
COL18A1	-0.052302063	0.793887598
COL1A1	0.34396676	0.732629316
COL4A1	0.423823774	0.039813613
COL4A2	0.107110858	0.28605396
COL5A1	0.005245864	0.988824757
COL5A2	-0.001098275	0.995239315
COL6A1	0.681747119	1
COL8A1	0.331708559	0.723532883
COLGALT1	0.264014482	0.351710712
COMMD1	0.447256327	0.009737799
COMMD10	0.027574778	0.822701577
COMMD2	2.158310473	0.072989311
COMMD3	-0.0224365	0.822445809
COMMD4	0.042221844	0.694540046
COMMD5	0.122955143	0.558115779
COMMD6	0.036905289	0.774268497
COMMD8	0.269244024	0.45414533
COMMD9	-0.024324954	0.802726448
COMT	0.496761024	2.56E-05
COPA	0.1549353	0.215420293
COPB1	0.048447311	0.372827705
COPB2	0.162232995	0.009682761
COPE	0.005769014	0.916091791
COPG1	0.081838369	0.077448329
COPG2	0.139154255	0.108608045
COPRS	-0.091585398	0.279510246
COPS2	0.040680945	0.524629285
COPS3	-0.066012323	0.250174254
COPS4	0.180469811	0.016560659
COPS5	0.110733867	0.287736264
COPS6	0.096343219	0.306044344
COPS7A	0.071611464	0.469579994
COPS7B	-0.08820343	0.548444677
COPS8	0.085041344	0.483642161
COPS9	0.052141643	0.930960389
COPZ1	-0.362045169	0.072450924
COPZ2	-0.046106875	0.796325356
COQ9	0.216068	0.354136169
CORO1B	0.066371322	0.678434434
CORO1C	0.088524878	0.704438322
CORO7	0.017329872	0.80783628
COTL1	0.087423503	0.16593324
COX15	-0.255852977	0.675218465
COX17	-0.075974941	0.752335034
COX20	0.042032361	0.516529126
COX4I1	-0.07466054	0.638640336
COX5A	0.203699589	0.142696747
COX5B	-0.067028642	0.313235783
COX6A1	0.55842644	0.049649752
COX6B1	0.710077604	0.616605638
COX6C	-0.001469851	0.992301692
COX7A2	0.265261233	0.460388826
COX7A2L	-5.016718924	1
COX7B	-0.074029207	0.760561258
COX7C	0.154405951	0.174889705
CP	0.180662918	0.600423268
CPD	0.000576079	0.993471459
CPNE1	0.429178655	0.00024732
CPNE2	0.258550499	0.125550562
CPNE3	0.204170883	0.329027193
CPNE6	-0.100117862	0.444386636
CPOX	-0.036955953	0.169336947
CPPED1	0.192260921	0.089126158
CPSF1	0.381164968	0.000394938
CPSF2	0.131158531	0.473965912
CPSF3	-0.071663022	0.153426953
CPSF4	-0.119710207	0.329830427
CPSF6	0.038065493	0.607116287
CPSF7	0.138870895	0.244752865
CPT1A	0.244859576	0.035069018
CPT2	0.413562	9.44E-05
CRACR2A	-0.027759969	0.915313537
CRADD	0.034107288	0.958371883
CRAT	0.562843084	0.229689801
CREB1	-0.053324938	0.590345382
CREBBP	0.124626373	0.582227073
CRELD1	0.281218588	0.667622771
CRELD2	-0.035689354	0.833900965
CRIM1	-0.348879218	0.608932064
CRIP2	-0.016944647	0.923799988
CRK	-0.159827292	0.570214317
CRKL	-0.001600385	0.96081886
CRLF3	-0.004804611	0.938844459
CRTAP	-0.028978288	0.897626933
CRYBG1	-0.014752746	0.974926273
CRYBG3	0.230585784	0.37684107
CRYL1	0.033729196	0.742408719
CRYZ	0.086427033	0.326962673
CRYZL1	0.202786744	0.298476818
CS	0.206883609	0.091812809
CSDE1	0.083296061	0.367703904
CSE1L	-0.041305482	0.375878265
CSK	0.183098376	0.007405351
CSNK1A1	-0.044665217	0.724955002
CSNK1D;CSNK1E	0.016881347	0.865519199
CSNK1G1	0.032491028	0.868738187
CSNK2A1	0.016731799	0.807274804
CSNK2A2	0.168886721	0.263483287
CSNK2B	0.174295068	0.283772753
CSRP1	0.027864695	0.502275933
CSRP2	0.203604937	0.790368812
CSTB	-0.016913056	0.860956518
CSTF1	-0.027704537	0.581994703
CSTF2	-0.242673397	0.419898289
CSTF2T	0.193361938	0.362213939
CSTF3	-0.005609632	0.938878777
CTBP1	0.113548219	0.165175461
CTBP2	0.180411696	0.093520379
CTCF	2.126149138	0.002686197
CTDP1	0.276834548	0.012674046
CTIF	0.386059582	0.005753921
CTNNA1	0.039621472	0.304952473
CTNNA2	-0.117148161	0.047786329
CTNNB1	0.085361063	0.138578191
CTNNBIP1	0.131459415	0.370791134
CTNNBL1	-0.010100663	0.864368541
CTNND1	0.047581673	0.477235992
CTPS1	0.392092705	0.020452292
CTPS2	-0.010572433	0.964438048
CTSA	0.047189534	0.767822028
CTSB	0.153479218	0.11605253
CTSC	0.441199422	0.002046274
CTSD	-0.08135432	0.258539711
CTSL	1.11607188	0.001352664
CTSZ	0.280420661	0.171065413
CTTN	0.035731852	0.566138592
CTTNBP2NL	-0.01741755	0.836133416
CTU2	0.67972758	0.004134111
CUL1	0.140161812	0.068482869
CUL2	0.060347974	0.2352852
CUL3	0.048912764	0.410892878
CUL4A	0.137121022	0.003946576
CUL4B	0.022089839	0.919092042
CUL5	-0.037202954	0.759236611
CUSTOS	0.122034788	0.434500779
CUTA	0.229888737	0.04088614
CUTC	0.246026516	0.515121638
CUX1	-0.245569229	0.075156619
CWC15	-0.109701514	0.345079218
CWC22	-0.520408928	0.002253959
CWC27	0.072576165	0.632642312
CWF19L1	0.272210658	0.092640525
CXorf38	0.31751138	0.15312894
CYB5A	0.057005763	0.49145217
CYB5B	0.538865328	0.007812356
CYB5R1	0.052607417	0.603290754
CYB5R2	0.472981691	0.021705898
CYB5R3	0.112299323	0.160724503
CYBC1	0.124562204	0.458939159
CYBRD1	0.008298516	0.921245002
CYC1	0.414182603	0.011526181
CYCS	0.184119284	0.307552852
CYFIP1	0.013970673	0.855540285
CYFIP2	0.001308282	0.995591972
CYHR1	0.057243526	0.840489094
CYP20A1	0.340931296	0.334837158
CYP2S1	0.130319715	0.704598324
CYP51A1	0.224841654	0.148193177
CYRIA	-0.067095995	0.387132276
CYRIB	-0.034202397	0.525896081
CZIB	0.223873854	0.328791807
DAB2	-0.020302594	0.820627322
DAB2IP	0.358979642	0.506307473
DAD1	0.164584517	0.657076221
DAP	-0.016784191	0.975145193
DAP3	-0.059806406	0.771429176
DAPK3	0.36198312	0.198072656
DARS1	0.043040395	0.155963349
DARS2	-0.032434225	0.896688776
DAXX	-0.487857997	0.096316339
DAZAP1	0.335854709	0.006177368
DBI	-0.124807179	0.278280877
DBN1	0.025443256	0.562250517
DBNL	-0.12080133	0.187905115
DBT	0.320063591	0.001392476
DCAF6	0.166403651	0.457644492
DCAF8	0.631027603	0.457912305
DCBLD2	-0.084859878	0.858494941
DCHS1	0.01754071	0.87862125
DCK	0.221144646	0.22046993
DCP1A	0.260331273	0.070775817
DCP1B	1.053827899	1
DCPS	-0.063564301	0.636823289
DCTD	0.183416605	0.010472107
DCTN1	0.034074962	0.432635883
DCTN2	0.095778465	0.159829327
DCTN3	1.082428157	0.000285087
DCTN4	-0.131282628	0.381235502
DCTN5	-0.553701043	0.013591688
DCTN6	0.302730799	0.363879738
DCTPP1	0.11233294	0.689184463
DCUN1D1	0.02240172	0.948230097
DCUN1D3	0.021023929	0.855524999
DCXR	0.388993204	0.617475044
DDA1	0.155120075	0.019390564
DDAH1	0.032772422	0.506314027
DDAH2	0.035514235	0.842461765
DDB1	0.162969053	0.23085635
DDB2	0.025451277	0.786743117
DDI2	-0.024418116	0.881632386
DDIT4L	-1.221130303	0.208933279
DDOST	0.307113588	0.345668544
DDRGK1	0.354110241	0.142622927
DDTL;DDT	0.125931621	0.234387749
DDX1	0.148293674	0.003404829
DDX10	0.185032427	0.578586114
DDX17	0.073221028	0.073049362
DDX18	0.419953108	0.071186047
DDX19A	-0.091888309	0.418328258
DDX19B	0.096829951	0.080505457
DDX20	-0.081215501	0.588060105
DDX21	0.1662727	0.642136236
DDX23	0.069094062	0.344787097
DDX24	0.130598605	0.539112812
DDX27	0.128583908	0.282905676
DDX39A	0.181015849	0.033780787
DDX39B	0.182604492	0.091325453
DDX3X	0.152932703	0.037386577
DDX41	0.243987679	0.031396483
DDX42	0.006628811	0.924053526
DDX46	0.030196726	0.43079078
DDX47	0.186523676	0.536811097
DDX49	0.634334594	0.074757575
DDX5	0.098218918	0.320610087
DDX50	0.158807337	0.286237172
DDX51	0.05529356	0.697305407
DDX52	0.168392837	0.564080826
DDX54	0.107796252	0.779970267
DDX56	0.072702229	0.548143488
DDX58	0.134851635	0.05355968
DDX6	0.157495797	0.137952358
DDX60	0.156100214	0.531204372
DECR1	0.096003652	0.147112588
DEGS1	0.850154042	0.005763854
DEK	0.011313498	0.93546021
DENND10	0.300966084	0.244274816
DENND4A	0.000368309	0.998514243
DENND4C	-0.073284209	0.507031139
DENND6A	3.426834583	2.30E-06
DENR	-0.042693555	0.804767026
DERA	-0.006654859	0.94332868
DES	0.441676557	0.213651426
DESI1	2.212784094	0.000425194
DFFA	0.063697994	0.494509753
DGKA	-0.130255997	0.182513094
DGKZ	-0.021478947	0.92871512
DGLUCY	0.074077785	0.421078987
DGUOK	-1.240134219	0.135609565
DHCR24	-0.081089973	0.86603566
DHCR7	0.130992472	0.23956117
DHFR	0.057504177	0.540864391
DHODH	0.079110354	0.747264503
DHRS1	0.107755184	0.693881584
DHRS4	0.499183118	0.01564682
DHRS7	-0.266299844	0.001497964
DHRS7B	0.469491124	0.039588342
DHTKD1	-1.148194313	0.00759238
DHX15	0.232324541	0.019363873
DHX16	0.026481926	0.901282405
DHX29	0.128307343	0.418713183
DHX30	0.095062733	0.571154447
DHX36	0.329354525	0.062295019
DHX37	0.369305551	0.089396692
DHX38	0.151582956	0.146819336
DHX57	0.318309337	0.477453717
DHX8	0.090242505	0.561975568
DHX9	0.180258334	0.097903699
DIABLO	-0.052784026	0.435568002
DIAPH1	0.060881615	0.651873821
DIAPH2	0.011319518	0.89187526
DIDO1	-0.058437049	0.641723264
DIMT1	0.005056202	0.980445197
DIP2B	-0.056161761	0.607748509
DIS3	0.163033605	0.092261661
DIS3L2	-0.077844918	0.549955807
DKC1	0.026804149	0.828873661
DKK3	0.091641068	0.559510421
DLAT	-0.26244545	0.046327293
DLD	0.085132957	0.670053901
DLG1	0.163137078	0.002608973
DLGAP4	0.438054293	0.250334914
DLST	0.076606333	0.367777119
DNAAF5	-0.073793828	0.516615682
DNAJA1	0.098932147	0.219564937
DNAJA2	0.21005249	0.156548763
DNAJA3	0.26005441	0.009976581
DNAJB1	-0.034692466	0.678805206
DNAJB11	0.024920225	0.785292666
DNAJB12	-0.033655226	0.889393163
DNAJB2	-0.086441708	0.65129026
DNAJB4	0.004933774	0.982129817
DNAJB6	-0.073502626	0.692653459
DNAJB9	-0.535612481	0.311809549
DNAJC1	0.287188649	0.076276441
DNAJC10	0.061599553	0.731767654
DNAJC11	0.370874941	4.41E-06
DNAJC13	-0.005085826	0.905123029
DNAJC17	0.257669747	0.335599752
DNAJC19	-0.398091227	0.692810633
DNAJC2	-0.140086174	0.402100204
DNAJC3	-0.087373257	0.522923548
DNAJC5	0.047450066	0.848766671
DNAJC7	0.047990084	0.665244207
DNAJC8	-0.046997488	0.422432169
DNAJC9	-0.156762421	0.011928561
DNASE1L1	0.126489043	0.439455449
DNM1L	0.159353971	0.000541063
DNM2	0.168392956	0.056341893
DNM3	0.053701818	0.841364962
DNMBP	-0.059975624	0.320484057
DNMT1	0.182069361	0.434205734
DNPEP	-0.083983719	0.196101977
DNPH1	0.284346998	0.020068391
DNTTIP2	0.070199788	0.60222335
DOCK1	-0.152799487	0.14628159
DOCK4	-0.017029405	0.733690083
DOCK6	-0.192032099	0.002719407
DOCK8	0.120616257	0.758983127
DOCK9	0.01816088	0.889129945
DOHH	-0.199963748	0.071547636
DOK1	-0.597080588	0.006614884
DPCD	0.436508	0.00478834
DPF2	-0.112345278	0.108752628
DPH5	0.153238535	0.027144365
DPM1	0.177376986	0.221655675
DPM3	0.032312632	0.889654545
DPP3	0.026418626	0.63493601
DPP7	0.154951096	0.338718785
DPP9	0.123498142	0.141721214
DPY19L1	0.458216619	0.740447298
DPY30	0.187292695	0.560039825
DPYD	0.068889797	0.779640531
DPYS	-0.425026798	0.536006202
DPYSL2	0.116050184	0.496315158
DPYSL3	0.305058777	0.000984474
DPYSL4	0.044560432	0.791651764
DPYSL5	-0.133628488	0.344808541
DR1	0.089764655	0.504510872
DRG1	-0.045597851	0.816509123
DRG2	-0.030565083	0.738687775
DST	-0.008678436	0.96630432
DSTN	0.537480056	0.000799655
DTD1	0.71518147	0.001113981
DTNBP1	-0.121249352	0.713697812
DTX3L	0.097955287	0.599859962
DTYMK	0.12816608	0.606098998
DUS2	-0.065113127	0.647594329
DUS3L	-0.004052341	0.981088354
DUSP12	0.202617466	0.101719402
DUSP3	-0.128133833	0.103734499
DUSP6	0.288589001	0.077773114
DUT	0.163787425	0.165989329
DVL2	0.015293777	0.899126887
DYNC1H1	0.032878041	0.426064208
DYNC1I2	0.020885944	0.782332004
DYNC1LI1	0.057231903	0.417538646
DYNC1LI2	0.032060802	0.403613764
DYNLL1	0.100037694	0.542184361
DYNLL2	0.237362266	0.07883827
DYNLRB1	0.099403143	0.12742645
DYNLT1	0.207014859	0.399099676
DYNLT3	0.66534847	0.00703489
DYSF	-0.034542263	0.913877993
EBAG9	0.018541217	0.909094338
EBNA1BP2	0.228487432	0.127956951
EBP	-0.59809103	0.299215011
ECD	1.277665317	0.019847493
ECE1	0.122565925	0.638142211
ECH1	0.568953693	0.000296975
ECHDC1	-0.148822665	0.229181156
ECHS1	0.171800256	0.036605752
ECI1	-0.034275472	0.944979189
ECI2	0.034808338	0.895497148
ECPAS	0.153401673	0.273758113
ECSCR	-0.317494103	0.572011093
ECSIT	0.059722424	0.833326952
EDC3	0.365168929	0.001840227
EDC4	0.006941795	0.831457484
EDF1	0.174986303	0.053184056
EEA1	-0.006388843	0.968366811
EEF1A1	0.045867085	0.610463375
EEF1A2	0.192372382	0.382826319
EEF1AKMT1	0.614905196	0.034690907
EEF1B2	0.476195276	0.207078992
EEF1D	0.228713393	0.029490557
EEF1E1	-0.087419093	0.609919952
EEF1G	0.058116615	0.366142828
EEF2	0.083002687	0.417335261
EEF2K	0.026467681	0.881105819
EEFSEC	0.336411655	0.216335253
EFEMP1	0.080140352	0.826895974
EFHD2	0.125681639	0.573578923
EFL1	-0.038701534	0.763170625
EFNB1	-0.312585235	0.029567676
EFR3A	0.081669068	0.885830613
EFTUD2	0.137856722	0.004310903
EGFL7	-1.193072119	0.04875372
EGLN1	-0.036469281	0.664806806
EHBP1	-0.147511482	0.323952109
EHBP1L1	0.058242679	0.658360153
EHD1	-0.072360575	0.49623888
EHD2	-0.021884501	0.943444259
EHD3	0.507327557	0.007009325
EHD4	0.14169997	0.338129797
EHMT1	0.029627264	0.712128074
EHMT2	0.093117177	0.364141893
EIF1	0.092548013	0.436207478
EIF1AD	0.139181435	0.187210493
EIF1AY;EIF1AX	0.091875255	0.264979391
EIF1B	1.108829618	0.000464757
EIF2A	0.029204905	0.870725225
EIF2AK2	0.117169797	0.090380329
EIF2AK4	-0.040172875	0.650281154
EIF2B1	0.019298077	0.755410982
EIF2B2	-0.057205081	0.660604831
EIF2B3	0.113679767	0.006855304
EIF2B4	-0.041331768	0.842884478
EIF2B5	0.288302243	0.065426412
EIF2D	-0.051102161	0.705029093
EIF2S1	0.170573175	0.172993808
EIF2S2	-0.031899214	0.840130641
EIF2S3	0.114735901	0.017863712
EIF3A	0.091994226	0.280835521
EIF3B	0.039436102	0.641469273
EIF3C	0.106514573	0.007395771
EIF3D	0.225255787	0.164667484
EIF3E	0.054704428	0.725579901
EIF3F	0.285143375	0.065725118
EIF3G	-0.02346164	0.872985507
EIF3H	0.339652061	0.000217875
EIF3I	0.273849726	0.029286186
EIF3J	0.114024162	0.443290958
EIF3K	0.258652151	0.137794177
EIF3L	0.162616909	0.120527075
EIF3M	0.003689587	0.961382071
EIF4A1	0.039529383	0.441837412
EIF4A2	0.04769516	0.614594399
EIF4A3	0.207240999	0.004415702
EIF4B	0.030056953	0.670227638
EIF4E	0.32811588	0.408761694
EIF4E2	-0.01297009	0.930888279
EIF4EBP1	0.064465463	0.683516236
EIF4EBP2	0.428188026	0.00781182
EIF4ENIF1	-0.091652751	0.225741657
EIF4G1	0.036260247	0.774830461
EIF4G2	-0.159553349	0.004018204
EIF4G3	0.08343488	0.450354438
EIF4H	0.04342711	0.512441966
EIF5	0.08602041	0.536198388
EIF5A	-0.015632927	0.878259011
EIF5A2	0.110827982	0.481944297
EIF5B	0.051918447	0.294287654
EIF6	-0.047286272	0.608172429
EIPR1	0.28546381	0.018790299
ELAC2	0.101367891	0.286674623
ELAVL1	-0.080131292	0.113825307
ELMO1	-0.033813238	0.850626153
ELMO2	-0.184126139	0.131181871
ELOA	-0.033967793	0.904877895
ELOB	0.076352358	0.58631525
ELOC	0.057040215	0.852421195
ELOVL1	0.011855632	0.978271025
ELOVL5	1.870098263	0.00239683
ELP1	0.060972869	0.493236078
ELP2	0.237980485	0.047714744
ELP3	0.115524113	0.329061053
EMC1	0.140701592	0.607217537
EMC2	-0.083443284	0.748594117
EMC3	0.119535804	0.449685229
EMC4	-0.095118999	0.648348376
EMC7	0.918649673	0.031412542
EMC8	0.084853232	0.514363445
EMD	0.025235415	0.853324512
EMG1	-0.051000834	0.676526354
EML1	0.072024584	0.841592178
EML2	0.120757341	0.129393179
EML3	0.192610443	0.177762332
EML4	0.119487047	0.210996273
ENAH	0.023842931	0.887263234
ENDOD1	-0.01160413	0.927982822
ENDOG	-0.20580101	0.119336598
ENG	0.264942288	0.173137603
ENO1	0.084677577	0.436399096
ENO2	-0.070478439	0.737841437
ENOPH1	0.232066214	0.080137877
ENOSF1	0.124823391	0.565569511
ENPP4	-0.211971951	0.205468774
ENSA	-0.008923352	0.962689065
ENTPD1	0.009409845	0.985386849
ENY2	0.220357478	0.11546864
EOGT	0.026438773	0.920518576
EOLA1;EOLA2	0.165583866	0.731812113
EPB41	0.130098999	0.395619941
EPB41L1	0.320337551	0.5206438
EPB41L2	0.010270894	0.935434924
EPB41L3	0.009123981	0.923110462
EPB41L5	-0.420794249	0.273183362
EPHA2	0.082360804	0.150394735
EPHA5	0.37994653	0.037320848
EPHB2	0.050020814	0.490995826
EPHB4	0.172435999	0.018748398
EPHX1	0.016504467	0.850870706
EPM2AIP1	-0.0762254	0.659161448
EPN1	-0.199367523	0.087544901
EPN2	0.021037519	0.771258533
EPPK1	0.256551266	0.624571915
EPRS1	0.064269066	0.459072567
EPS15	0.18677789	0.029832717
EPS15L1	0.002699435	0.987721245
ERAL1	0.125687718	0.6764619
ERAP1	0.277554929	0.035043969
ERAP2	0.827373256	0.298655767
ERBIN	0.154043317	0.448568176
ERC1	0.014830887	0.881211767
ERC2	-0.29358077	0.201816778
ERCC2	-0.241162956	0.008521119
ERCC3	0.328233898	0.160046169
ERCC4	1.73894906	0.005257969
ERCC5	-0.015166759	0.907999603
ERG	-0.050163448	0.361861444
ERGIC1	0.948296398	0.001695246
ERGIC2	-0.805611372	0.003267945
ERGIC3	0.279894829	0.330448071
ERH	0.049537897	0.581475706
ERI3	-0.04023695	0.510658314
ERICH1	-0.566437042	0.025108812
ERLEC1	-0.209779441	0.174465033
ERLIN1	0.271185517	0.338705167
ERLIN2	0.065734625	0.616264742
ERMP1	-0.075047553	0.45079861
ERO1A	0.051197767	0.459968997
ERP29	-0.073399305	0.210665769
ERP44	0.041939735	0.684923568
ESAM	-0.075834394	0.675208764
ESD	0.043895423	0.736803441
ESM1	0.091776252	0.927427215
ESYT1	0.115797698	0.080578543
ESYT2	0.225008965	0.010435153
ETF1	0.220704913	0.096035238
ETFA	-0.017802954	0.912646033
ETFB	0.025759161	0.728342995
ETFDH	-0.134669721	0.472809936
ETHE1	0.174482763	0.011416954
EWSR1	-0.066484153	0.572966538
EXD2	-0.182535112	0.013826949
EXOC1	0.171762884	0.016145206
EXOC2	0.016309321	0.803370114
EXOC3	-0.008053243	0.898388422
EXOC4	-0.034762681	0.657483359
EXOC5	0.069443405	0.219561378
EXOC6	0.219855249	0.029876336
EXOC6B	0.306274593	0.000589601
EXOC7	0.01640898	0.899192105
EXOC8	0.205029964	0.002410839
EXOG	0.052841127	0.746380229
EXOSC1	-0.270686626	0.002399487
EXOSC10	-0.041650176	0.850566778
EXOSC2	0.096890986	0.555428176
EXOSC3	-0.094892859	0.88073259
EXOSC4	-0.025036633	0.858465158
EXOSC5	0.426803768	0.037420507
EXOSC6	0.185819745	0.009471506
EXOSC7	-0.096146762	0.262381276
EXOSC8	0.280838847	0.238325697
EXOSC9	0.247562706	0.015530538
EYA3	0.120428294	0.454516409
EZR	0.248491287	0.018270387
F11R	0.071970582	0.39946896
F2	-0.210742593	0.5689913
F5	0.51544798	0.094648736
F8A1	0.809090793	0.050423632
FABP4	0.375336826	0.034378473
FABP5	0.231712878	0.187978952
FADD	-0.147679329	0.336750254
FADS3	0.666223774	0.323029537
FAF1	0.131449997	0.484391991
FAF2	0.179973185	0.213492986
FAH	0.132789433	0.651772702
FAHD1	0.178904116	0.278759653
FAHD2A	0.112110972	0.266635579
FAIM	1.028915346	0.021600626
FAM107B	0.184747875	0.261931866
FAM114A1	0.070138335	0.481856251
FAM114A2	0.103417575	0.161460361
FAM118B	0.058250666	0.629033132
FAM120A	-0.003236413	0.97673085
FAM120B	0.372314394	0.07881233
FAM124B	-0.719105244	0.059883657
FAM136A	0.024348021	0.918252981
FAM162A	-0.0129987	0.950809381
FAM168A	-0.197909653	0.0433869
FAM168B	0.047216713	0.659285792
FAM171A1	0.24425596	0.025695355
FAM177A1	0.319758296	0.254332291
FAM210B	0.09834829	0.72775777
FAM241A	-0.08817029	0.562059673
FAM32A	0.000807345	0.993462974
FAM3C	0.260143151	0.772810932
FAM43A	0.252025008	0.120273462
FAM50A	-0.050303161	0.57219276
FAM53C	-0.298698843	0.439743793
FAM91A1	0.036362588	0.889041214
FAM98A	0.06174916	0.56080071
FAM98B	0.215063751	0.025248595
FAM9A	-0.14229238	0.675903378
FAP	0.264523268	0.594395973
FAR2	0.163572848	0.285894047
FARP1	-0.95596887	0.004561343
FARSA	0.048604369	0.500833814
FARSB	0.172242105	0.012056637
FAS	0.207384109	0.24872022
FASN	0.086837828	0.630389177
FASTKD2	-0.078689337	0.415840516
FASTKD5	0.124635383	0.767292119
FAU	0.089984	0.789036304
FBL	0.190901637	0.211793075
FBLIM1	0.109453678	0.324139243
FBLN1	0.105386376	0.58888649
FBN1	0.010900557	0.967307961
FBXL18	0.153622925	0.187030466
FBXO22	0.230192065	0.017933389
FBXO7	-0.143172204	0.422547243
FBXW11	0.470275249	0.205928529
FCGRT	-0.866850078	0.070950342
FCHO2	-0.031006575	0.844901109
FCHSD2	0.218580961	0.219847421
FCSK	0.157482743	0.497431521
FDFT1	0.404037893	0.082801681
FDPS	0.210855246	0.291121644
FDX2	-0.758680284	0.004133308
FDXR	-0.099237859	0.21212251
FECH	0.254609764	0.357183852
FEN1	0.15024513	0.527617798
FERMT2	0.063736558	0.387005523
FERMT3	-0.109441757	0.714070972
FES	0.28225106	0.251046222
FGA	0.579934408	0.473115861
FGB	0.665160677	0.371273126
FGD4	-0.068017423	0.619475215
FGD5	-0.00545007	0.92674196
FGG	0.967881271	0.177842955
FH	0.107089281	0.027439507
FHIP1B	1.612150401	1
FHIP2A	1.336396486	0.000155299
FHL1	0.068575025	0.714924374
FHL2	0.155481398	0.080692645
FHL3	-0.043454647	0.719735941
FHOD1	-0.00324595	0.975883149
FIBP	0.648106426	0.045044808
FILIP1L	0.039291203	0.838130624
FIP1L1	0.196693718	0.056666948
FIS1	0.203293741	0.281063034
FKBP10	0.139073968	0.528944977
FKBP11	0.158375323	0.800276143
FKBP14	0.680514336	0.229292981
FKBP15	0.014506936	0.719176561
FKBP1A	0.128733635	0.390571605
FKBP1B	0.029078245	0.959695035
FKBP2	1.672940007	0.000128221
FKBP3	0.020065486	0.88196758
FKBP4	0.135510862	0.006697959
FKBP5	0.03992945	0.48176333
FKBP7	0.107527018	0.20585867
FKBP8	0.168496966	0.014472597
FKBP9	0.389283001	0.003396838
FLAD1	0.115728021	0.475713774
FLG	0.343402207	0.394557156
FLI1	-0.05660975	0.452133093
FLII	-0.048138857	0.403337941
FLNA	0.104494214	0.323192644
FLNB	0.075025618	0.665160622
FLNC	0.072213769	0.30583734
FLOT1	0.116214395	0.572190413
FLOT2	0.076560259	0.602034365
FLRT2	0.043798208	0.76893092
FLT4	0.338174462	0.253286509
FLYWCH2	0.197742522	0.627137311
FMC1	0.109324276	0.476004405
FMNL2	0.019462585	0.895340458
FMNL3	0.186252296	0.021287546
FMR1	1.069061756	0.00054546
FN1	-0.227464736	0.570649528
FN3K	-0.007217169	0.992390751
